parameters	trial_id	accuracy	correct_pos_predicted	correct_sites_predicted	kl_dis
param[1, 7, 10]	0	0.0	0	0	4.198472221704359
param[1, 7, 10]	1	0.0	0	1	2.0308931373791164
param[1, 7, 10]	2	0.1	1	0	2.9131181018451877
param[1, 7, 10]	3	0.0	0	2	1.850113633964667
param[1, 7, 10]	4	0.0	0	1	2.378636876045479
param[1, 7, 10]	5	0.0	0	0	3.1809978106220034
param[1, 7, 10]	6	0.0	0	0	2.4535429011738317
param[1, 7, 10]	7	0.1	1	0	2.877479106985391
param[1, 7, 10]	8	0.1	1	1	3.657080229204549
param[1, 7, 10]	9	0.0	0	0	2.0132792821666037
param[1.5, 6, 10]	0	0.0	0	0	4.834379884848225
param[1.5, 6, 10]	1	0.0	0	3	4.515929558088864
param[1.5, 6, 10]	2	0.0	0	1	4.978478698526759
param[1.5, 6, 10]	3	0.0	0	1	3.245409215246931
param[1.5, 6, 10]	4	0.0	0	4	3.5463456027475058
param[1.5, 6, 10]	5	0.0	0	1	4.144034982267638
param[1.5, 6, 10]	6	0.1	1	4	3.6803294451288138
param[1.5, 6, 10]	7	0.0	0	2	4.006342996193835
param[1.5, 6, 10]	8	0.0	0	0	5.1772025368614845
param[1.5, 6, 10]	9	0.0	0	3	3.3162514402937333
param[1.5, 7, 10]	0	0.0	0	1	5.005876405805599
param[1.5, 7, 10]	1	0.1	1	2	4.276083772618181
param[1.5, 7, 10]	2	0.1	1	2	4.463236134836149
param[1.5, 7, 10]	3	0.0	0	0	5.222976360713837
param[1.5, 7, 10]	4	0.1	1	0	4.79655337253601
param[1.5, 7, 10]	5	0.1	1	3	4.070123025450729
param[1.5, 7, 10]	6	0.0	0	0	4.420729079759636
param[1.5, 7, 10]	7	0.0	0	0	5.042380776990919
param[1.5, 7, 10]	8	0.0	0	0	5.282907652866145
param[1.5, 7, 10]	9	0.0	0	1	4.334114183334432
param[1.5, 7, 20]	0	0.05	1	2	3.543885831379145
param[1.5, 7, 20]	1	0.0	0	2	4.150758526639741
param[1.5, 7, 20]	2	0.0	0	2	3.778760870332483
param[1.5, 7, 20]	3	0.05	1	4	4.249159917871441
param[1.5, 7, 20]	4	0.05	1	2	4.65011566614424
param[1.5, 7, 20]	5	0.0	0	2	5.0089340983002835
param[1.5, 7, 20]	6	0.05	1	2	4.6250155965604645
param[1.5, 7, 20]	7	0.05	1	2	3.4745537948900274
param[1.5, 7, 20]	8	0.05	1	2	5.03860835461676
param[1.5, 7, 20]	9	0.0	0	2	5.3838102883027155
param[1.5, 7, 5]	0	0.0	0	0	5.026591445684031
param[1.5, 7, 5]	1	0.0	0	0	4.439598951866673
param[1.5, 7, 5]	2	0.0	0	0	4.6156824151726275
param[1.5, 7, 5]	3	0.0	0	0	5.593823024947487
param[1.5, 7, 5]	4	0.2	1	0	4.319019783673856
param[1.5, 7, 5]	5	0.0	0	0	4.661538838645647
param[1.5, 7, 5]	6	0.0	0	0	5.209225094841579
param[1.5, 7, 5]	7	0.0	0	2	4.353302415422058
param[1.5, 7, 5]	8	0.2	1	0	5.478502298022289
param[1.5, 7, 5]	9	0.0	0	2	4.443044534154354
param[1.5, 8, 10]	0	0.1	1	1	3.643301645250798
param[1.5, 8, 10]	1	0.1	1	1	5.316740399665726
param[1.5, 8, 10]	2	0.1	1	1	4.213304853436987
param[1.5, 8, 10]	3	0.0	0	2	3.805018439650036
param[1.5, 8, 10]	4	0.0	0	0	5.410887467042933
param[1.5, 8, 10]	5	0.0	0	1	4.257353458363841
param[1.5, 8, 10]	6	0.0	0	1	3.6839335100352764
param[1.5, 8, 10]	7	0.0	0	1	4.9083816131016835
param[1.5, 8, 10]	8	0.0	0	2	4.423846154334391
param[1.5, 8, 10]	9	0.1	1	1	3.410192429423284
param[2, 7, 10]	0	0.1	1	1	6.340648405356096
param[2, 7, 10]	1	0.1	1	2	5.446982023786806
param[2, 7, 10]	2	0.0	0	1	5.7857901115221155
param[2, 7, 10]	3	0.0	0	1	7.458514127548925
param[2, 7, 10]	4	0.1	1	3	5.956195666307634
param[2, 7, 10]	5	0.0	0	0	7.81346922738806
param[2, 7, 10]	6	0.0	0	1	6.395125075812847
param[2, 7, 10]	7	0.0	0	0	6.998251993937666
param[2, 7, 10]	8	0.0	0	0	7.648423465740486
param[2, 7, 10]	9	0.0	0	0	7.801717656265943
