parameters	trial_id	accuracy	correct_pos_predicted	correct_sites_predicted	kl_dis
param[1, 7, 10]	0	0.0	0	0	29.829326582958576
param[1, 7, 10]	1	0.1	1	0	48.78320230072305
param[1, 7, 10]	2	0.0	0	0	11.781974233132317
param[1, 7, 10]	3	0.1	1	0	31.46927698722198
param[1, 7, 10]	4	0.0	0	1	36.38035948877585
param[1, 7, 10]	5	0.0	0	0	40.99387733232518
param[1, 7, 10]	6	0.1	1	0	33.63757531151353
param[1, 7, 10]	7	0.0	0	0	31.179265154550496
param[1, 7, 10]	8	0.1	1	5	26.445312348526706
param[1, 7, 10]	9	0.0	0	0	41.150054669462
param[1.5, 6, 10]	0	0.1	1	5	9.424737043762612
param[1.5, 6, 10]	1	0.0	0	0	31.136346533541463
param[1.5, 6, 10]	2	0.0	0	0	61.957371526582875
param[1.5, 6, 10]	3	0.0	0	6	12.662236540865726
param[1.5, 6, 10]	4	0.0	0	9	6.831331505262481
param[1.5, 6, 10]	5	0.0	0	1	38.41706635424655
param[1.5, 6, 10]	6	0.1	1	8	12.275993749886943
param[1.5, 6, 10]	7	0.0	0	8	19.288781912159777
param[1.5, 6, 10]	8	0.0	0	3	7.584995322180298
param[1.5, 6, 10]	9	0.3	3	6	6.4578563608907835
param[1.5, 7, 10]	0	0.0	0	2	28.455820130189924
param[1.5, 7, 10]	1	0.4	4	5	8.56131088277023
param[1.5, 7, 10]	2	0.1	1	3	12.758740931764102
param[1.5, 7, 10]	3	0.0	0	0	22.52762702973857
param[1.5, 7, 10]	4	0.0	0	1	28.449512503835088
param[1.5, 7, 10]	5	0.2	2	0	52.994253590871786
param[1.5, 7, 10]	6	0.2	2	6	12.97323698891951
param[1.5, 7, 10]	7	0.2	2	1	19.022201809804717
param[1.5, 7, 10]	8	0.0	0	0	45.21895101311683
param[1.5, 7, 10]	9	0.0	0	0	61.00602995015516
param[1.5, 7, 20]	0	0.5	10	14	4.617507734652558
param[1.5, 7, 20]	1	0.4	8	13	6.287540203512476
param[1.5, 7, 20]	2	0.4	8	0	9.84852461967417
param[1.5, 7, 20]	3	0.0	0	1	8.23427156288191
param[1.5, 7, 20]	4	0.0	0	2	9.299278096448315
param[1.5, 7, 20]	5	0.45	9	19	3.8006673586586572
param[1.5, 7, 20]	6	0.05	1	8	15.135617174821416
param[1.5, 7, 20]	7	0.0	0	3	9.971028507366393
param[1.5, 7, 20]	8	0.55	11	17	5.022247977407618
param[1.5, 7, 20]	9	0.1	2	8	11.996433283344258
param[1.5, 7, 5]	0	0.0	0	3	26.18861499415089
param[1.5, 7, 5]	1	0.2	1	0	35.493360053637225
param[1.5, 7, 5]	2	0.0	0	0	45.123112854172824
param[1.5, 7, 5]	3	0.0	0	0	55.32008187665647
param[1.5, 7, 5]	4	0.0	0	0	42.227016113082556
param[1.5, 7, 5]	5	0.2	1	0	35.705160966318395
param[1.5, 7, 5]	6	0.0	0	0	53.041937797562554
param[1.5, 7, 5]	7	0.0	0	4	23.325061053958642
param[1.5, 7, 5]	8	0.0	0	0	43.883375358534195
param[1.5, 7, 5]	9	0.0	0	0	52.21586207476548
param[1.5, 8, 10]	0	0.1	1	7	9.78978211023612
param[1.5, 8, 10]	1	0.1	1	1	31.484561152951706
param[1.5, 8, 10]	2	0.1	1	1	36.047042557434686
param[1.5, 8, 10]	3	0.5	5	4	42.29218226989208
param[1.5, 8, 10]	4	0.0	0	0	31.3083720159906
param[1.5, 8, 10]	5	0.1	1	7	23.274735875763024
param[1.5, 8, 10]	6	0.0	0	1	11.783632599733567
param[1.5, 8, 10]	7	0.0	0	8	12.000949553861167
param[1.5, 8, 10]	8	0.2	2	1	17.935690178196914
param[1.5, 8, 10]	9	0.0	0	3	30.036547576786948
param[2, 7, 10]	0	0.2	2	0	47.759889001464444
param[2, 7, 10]	1	0.0	0	3	17.26189674845244
param[2, 7, 10]	2	0.0	0	6	15.83477934601903
param[2, 7, 10]	3	0.0	0	7	14.43189213446714
param[2, 7, 10]	4	0.5	5	3	17.07479451359795
param[2, 7, 10]	5	0.0	0	1	27.664381538456855
param[2, 7, 10]	6	0.2	2	4	17.30832173570158
param[2, 7, 10]	7	0.1	1	1	26.860079351130963
param[2, 7, 10]	8	0.5	5	8	4.286031172225181
param[2, 7, 10]	9	0.7	7	7	6.440648435288834
